sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_CBX4_284	CBX4	588	492	382	628	562	147
EpiKDlib_DNAJC1_477	DNAJC1	644	297	524	429	591	162
EpiKDlib_ANP32E_53	ANP32E	304	198	335	291	383	75
EpiKDlib_ATRX_151	ATRX	71	94	41	98	49	25
EpiKDlib_KDM6B_958	KDM6B	409	226	273	319	387	113
EpiKDlib_HSPA1B_807	HSPA1B	710	365	574	534	614	169
EpiKDlib_ARRB1_105	ARRB1	447	353	325	380	553	159
EpiKDlib_SIN3A_1714	SIN3A	747	444	479	446	614	162
EpiKDlib_BRD3_226	BRD3	367	1390	258	1493	269	464
EpiKDlib_NCOA6_1166	NCOA6	293	286	261	233	351	70
EpiKDlib_NO-TARGET_1218	NO-TARGET	539	308	410	313	446	134
EpiKDlib_SMARCD3_1768	SMARCD3	375	180	280	326	317	95
EpiKDlib_RPS6KA5_1596	RPS6KA5	362	105	238	124	262	35
EpiKDlib_HIF1AN_753	HIF1AN	190	352	138	467	185	211
EpiKDlib_ANKRD32_44	ANKRD32	318	333	293	397	309	70
EpiKDlib_TDRD3_1933	TDRD3	571	369	451	483	641	177
EpiKDlib_PHF14_1352	PHF14	419	443	247	404	293	151
EpiKDlib_CDK2_318	CDK2	514	111	475	204	596	44
EpiKDlib_CHD6_372	CHD6	544	301	548	522	538	163
EpiKDlib_AEBP2_30	AEBP2	405	287	190	350	269	116
EpiKDlib_PRDM6_1434	PRDM6	472	300	376	443	472	132
EpiKDlib_NO-TARGET_1204	NO-TARGET	479	217	473	353	385	85
EpiKDlib_ERCC6_583	ERCC6	516	253	319	342	553	150
EpiKDlib_NO-TARGET_1192	NO-TARGET	511	328	406	467	567	207
EpiKDlib_YWHAB_2145	YWHAB	496	221	366	328	616	146
EpiKDlib_SMARCD1_1762	SMARCD1	127	596	109	788	95	301
EpiKDlib_ERCC6_582	ERCC6	629	349	434	455	557	169
EpiKDlib_PARG_1285	PARG	429	248	309	350	385	132
EpiKDlib_PRKCA_1466	PRKCA	262	174	222	249	344	82
EpiKDlib_DDX50_467	DDX50	234	114	242	177	322	99
EpiKDlib_NO-TARGET_1222	NO-TARGET	418	239	344	331	339	93
EpiKDlib_USP17L2_2082	USP17L2	497	235	325	261	400	100
EpiKDlib_PRMT6_1487	PRMT6	494	202	361	384	480	105
EpiKDlib_DPF3_508	DPF3	347	214	258	325	320	79
EpiKDlib_HDAC3_723	HDAC3	640	517	470	654	652	204
EpiKDlib_SMEK1_1774	SMEK1	715	681	604	854	608	306
EpiKDlib_PPM1G_1393	PPM1G	239	114	315	148	369	58
EpiKDlib_UBE2D1_2029	UBE2D1	838	557	577	620	948	346
EpiKDlib_MCRS1_1048	MCRS1	49	32	46	42	60	17
EpiKDlib_ASXL3_127	ASXL3	539	272	352	318	447	133
EpiKDlib_FOXP3_659	FOXP3	436	177	382	283	481	70
EpiKDlib_E2F6_529	E2F6	651	481	525	671	647	215
EpiKDlib_TNP1_1976	TNP1	451	293	368	364	402	86
EpiKDlib_FBRSL1_642	FBRSL1	384	283	347	266	433	116
EpiKDlib_HDAC8_740	HDAC8	293	377	220	452	242	146
EpiKDlib_MLLT10_1071	MLLT10	168	77	155	95	140	20
EpiKDlib_DTX3L_523	DTX3L	311	203	289	256	235	115
EpiKDlib_PADI4_1273	PADI4	408	335	243	404	376	109
EpiKDlib_TET3_1949	TET3	149	173	154	192	169	51
EpiKDlib_DDX50_466	DDX50	815	448	511	472	665	146
EpiKDlib_PHF8_1369	PHF8	362	52	220	98	489	26
EpiKDlib_ATF2_136	ATF2	703	308	636	281	597	92
EpiKDlib_PRDM5_1429	PRDM5	511	359	472	454	630	162
EpiKDlib_TRRAP_2010	TRRAP	276	112	253	174	309	119
EpiKDlib_MORF4L2_1080	MORF4L2	782	385	598	443	969	177
EpiKDlib_PPARGC1A_1390	PPARGC1A	409	392	415	500	554	106
EpiKDlib_NIPBL_1189	NIPBL	155	515	147	448	158	163
EpiKDlib_PRKAA1_1444	PRKAA1	696	393	588	434	850	180
