sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_CBX4_284	CBX4	398.80929323129067	556.5867724642548	316.23370185294107	555.9764516700974	400.4311975986103	361.90976186710645
EpiKDlib_DNAJC1_477	DNAJC1	436.79113068188974	335.98835654854406	433.7865439029872	379.7992002650825	421.0940174035208	398.83932940456634
EpiKDlib_ANP32E_53	ANP32E	206.1871175889666	223.99223769902937	277.3253668082075	257.626030949042	272.89172363036965	184.64783768729922
EpiKDlib_ATRX_151	ATRX	48.15554391058102	106.33974921065031	33.94131354966121	86.76065647081138	34.913040360021185	61.54927922909974
EpiKDlib_KDM6B_958	KDM6B	277.40306280883993	255.6679076766699	225.99947802579294	282.41478994070235	275.74176774139175	278.20274211553084
EpiKDlib_HSPA1B_807	HSPA1B	481.55543910581014	412.9149836370996	475.17838969525695	472.75704648380895	437.48177104189807	416.07312758871427
EpiKDlib_ARRB1_105	ARRB1	303.17645250746074	399.3396965038251	269.0469976497535	336.4188720296768	394.0185983488105	391.45341589707436
EpiKDlib_SIN3A_1714	SIN3A	506.65058170709887	502.28562393115675	396.5338826899444	394.84951822430486	437.48177104189807	398.83932940456634
EpiKDlib_BRD3_226	BRD3	248.9166847208906	1572.4707596042972	213.58192428811202	1321.7720419481775	191.66546646623874	1142.3546224920913
EpiKDlib_NCOA6_1166	NCOA6	198.7263995183132	323.54434334304244	216.0654350356482	206.2778873234597	250.09137074219254	172.33798184147926
EpiKDlib_NO-TARGET_1218	NO-TARGET	365.5751854620164	348.4323697540457	339.41313549661214	277.102913013918	317.7799183789683	329.9041366679746
EpiKDlib_SMARCD3_1768	SMARCD3	254.3426614995476	203.6293069991176	231.79433643671072	288.61197968861745	225.86599579850437	233.887261070579
EpiKDlib_RPS6KA5_1596	RPS6KA5	245.52544923422997	118.78376241615194	197.0251859712041	109.77878982021032	186.67788927195	86.16899092073963
EpiKDlib_HIF1AN_753	HIF1AN	128.86694849310413	398.2084225760522	114.24149438666457	413.44108746805017	131.81454013477384	519.4759166936018
EpiKDlib_ANKRD32_44	ANKRD32	215.68257695161637	376.7142179483676	242.55621634270085	351.4691899888992	220.1659075764601	172.33798184147926
EpiKDlib_TDRD3_1933	TDRD3	387.2790925766445	417.4400793481911	373.3544490462733	427.60609260614183	456.7195687912975	435.7688969420262
EpiKDlib_PHF14_1352	PHF14	284.1855337821612	501.1543500033839	204.47571821381268	357.6663797368143	208.76573113237154	371.7576465437624
EpiKDlib_CDK2_318	CDK2	348.61900802871327	125.57140598278919	393.2225350265628	180.6038155106686	424.6565725422985	108.32673144321555
EpiKDlib_CHD6_372	CHD6	368.96642094867707	340.5134522596356	453.6546298832767	462.13329263024025	383.3309329324775	401.3013005737303
EpiKDlib_AEBP2_30	AEBP2	274.6900744195114	324.6756172708153	157.28901401062512	309.85948739575497	191.66546646623874	285.5886556230228
EpiKDlib_PRDM6_1434	PRDM6	320.13262994076393	339.3821783318627	311.26668035786867	392.19357976091266	336.3052051006122	324.9801943296466
EpiKDlib_NO-TARGET_1204	NO-TARGET	324.8803596220888	245.486442326714	391.56686119487205	312.5154258591471	274.31674568588073	209.26754937893912
EpiKDlib_ERCC6_583	ERCC6	349.97550222337753	286.2123037265375	264.07997615468116	302.7769848267091	394.0185983488105	369.29567537459843
EpiKDlib_NO-TARGET_1192	NO-TARGET	346.58426673671687	371.0578483095032	336.10178783323056	413.44108746805017	403.993752737388	509.62803201694584
EpiKDlib_YWHAB_2145	YWHAB	336.410560276735	250.0115380378055	302.98831119941474	290.3826053308789	438.90679309740915	359.4477906979425
EpiKDlib_SMARCD1_1762	SMARCD1	86.13738136118012	674.2392609526339	90.2342238271481	697.626503051014	67.68854763677577	741.0533219183609
EpiKDlib_ERCC6_582	ERCC6	426.61742422190787	394.8146007927336	359.28122147690164	402.8173336144814	396.86864245983264	416.07312758871427
EpiKDlib_PARG_1285	PARG	290.96800475548247	280.55593408767317	255.80160699622718	309.85948739575497	274.31674568588073	324.9801943296466
EpiKDlib_PRKCA_1466	PRKCA	177.70073950101727	196.84166343248035	183.77979531767778	220.44289246155137	245.10379354790382	201.88163587144714
EpiKDlib_DDX50_467	DDX50	158.7098207757177	128.96522776610783	200.3365336345857	156.70036934013893	229.42855093728204	243.73514574723498
EpiKDlib_NO-TARGET_1222	NO-TARGET	283.50728668482907	270.3744687377173	284.775899050816	293.0385437942711	241.54123840912612	228.96331873225103
EpiKDlib_USP17L2_2082	USP17L2	337.0888073740671	265.84937302662576	269.0469976497535	231.06664631512012	285.00441110221374	246.19711691639895
EpiKDlib_PRMT6_1487	PRMT6	335.05406608207073	228.51733341012087	298.84912662018775	339.9601233141997	342.0052933226565	258.50697276221894
EpiKDlib_DPF3_508	DPF3	235.35174277424807	242.09262054339538	213.58192428811202	287.72666686748676	228.003528881771	194.49572236395517
EpiKDlib_HDAC3_723	HDAC3	434.07814229256127	584.8686206585767	389.0833504473359	578.9945850194964	464.5571900966084	502.24211850945386
EpiKDlib_SMEK1_1774	SMEK1	484.9466745924708	770.3975448133283	500.01349717061885	756.0571492456421	433.2067048753649	753.3631777641808
EpiKDlib_PPM1G_1393	PPM1G	162.10105626237834	128.96522776610783	260.7686284912996	131.0262975273478	262.91656924179216	142.7943278115114
EpiKDlib_UBE2D1_2029	UBE2D1	568.3710675643224	630.1195777694917	477.6619004427932	548.8939491010516	675.4604543122465	851.8420245307404
EpiKDlib_MCRS1_1048	MCRS1	33.23410776927422	36.20076568873202	38.08049812888819	37.183138487490595	42.75066166533206	41.85350987578782
EpiKDlib_ASXL3_127	ASXL3	365.5751854620164	307.70650835422214	291.3985943775792	281.52947711957165	318.49242940672383	327.4421654988106
EpiKDlib_FOXP3_659	FOXP3	295.71573443680734	200.23548521579897	316.23370185294107	250.54352837999613	342.717804350412	172.33798184147926
EpiKDlib_E2F6_529	E2F6	441.53886036321467	544.1427592587531	434.6143808188326	594.0449029787187	460.9946349578307	529.3238013702578
EpiKDlib_TNP1_1976	TNP1	305.88944089678927	331.46326083745254	304.6439850311055	322.2538668915851	286.4294331577248	211.7295205481031
EpiKDlib_FBRSL1_642	FBRSL1	260.44688537553674	320.1505215597238	287.25940979835224	235.49321042077375	308.51727501814634	285.5886556230228
EpiKDlib_HDAC8_740	HDAC8	198.7263995183132	426.4902707703741	182.124121485987	400.1613951510892	172.4276687168393	359.4477906979425
EpiKDlib_MLLT10_1071	MLLT10	113.94551235179733	87.10809243851142	128.3147219560363	84.1047180074192	99.75154388577481	49.23942338327979
EpiKDlib_DTX3L_523	DTX3L	210.93484727029147	229.64860733789374	239.24486867931927	226.64008220946647	167.44009152255057	283.1266844538588
EpiKDlib_PADI4_1273	PADI4	276.7248157115078	378.97676580391334	201.1643705504311	357.6663797368143	267.9041464360809	268.3548574388749
EpiKDlib_TET3_1949	TET3	101.05881750248692	195.71038950470748	127.4868850401909	169.98006165709984	120.4143636906853	125.56052962736347
EpiKDlib_DDX50_466	DDX50	552.7713843256835	506.8107196422483	423.02466399699705	417.8676515737038	473.8198334574303	359.4477906979425
EpiKDlib_PHF8_1369	PHF8	245.52544923422997	58.82624424418953	182.124121485987	86.76065647081138	348.4178925724563	64.01125039826373
EpiKDlib_ATF2_136	ATF2	476.80770942448527	348.4323697540457	526.5042784776715	248.77290273773468	425.369083570054	226.50134756308705
