Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target
1	HDGFL2	none	14680	HDGF like 2	84717	Q7Z4V5	HDGR2_HUMAN	"LEDGF PF11467 472-578, PWWP PF00855 5-87, Pfam-B_32406 PB032406 111-159"	Hdgfrp2	1194492	Q3UMU9	HDGR2_MOUSE	none	none	Histone modification read	none	217205545	none	histone	"H3K79me3, H4K20me3, H3K36me3"	none	none	217205545
2	A1CF	none	24086	APOBEC1 complementation factor	29974	Q9NQ94	A1CF_HUMAN	"DND1_DSRM PF14709 445-523, RRM_1 PF00076 58-127 138-203, RRM_6 PF14259 233-297"	A1cf	1917115	Q5YD48	A1CF_MOUSE	RBM	RNA binding motif (RRM) containing	RNA modification	RNA deamination	10781591	APOB_mRNA_editosome	RNA	"mRNA, mC"	U	none	10781591
3	ACTB	none	132	"actin, beta"	60	P60709	ACTB_HUMAN	Actin PF00022 2-375	Actb	87904	P60710	ACTB_MOUSE	none	none	Chromatin remodeling cofactor	none	10966108	"BAF, nBAF, npBAF, PBAF, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1, NuA4, NuA4-related complex"	chromatin	none	none	none	10966108
4	ACTL6A	none	24124	actin-like 6A	86	O96019	ACL6A_HUMAN	Actin PF00022 8-429	Actl6a	1861453	Q9Z2N8	ACL6A_MOUSE	INO80	INO80 complex subunits	Chromatin remodeling cofactor	none	9845365	"BAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1, Ino80, NuA4, NuA4-related complex, SRCAP"	chromatin	none	none	none	9845365
5	ACTL6B	none	160	actin-like 6B	51412	O94805	ACL6B_HUMAN	Actin PF00022 8-426	Actl6b	1933548	Q99MR0	ACL6B_MOUSE	none	none	Chromatin remodeling cofactor	none	11726552	"BAF, nBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF BRM-BRG1"	chromatin	none	none	none	11726552
6	ACTR3B	none	17256	ARP3 actin-related protein 3 homolog B (yeast)	57180	Q9P1U1	ARP3B_HUMAN	Actin PF00022 3-412	Actr3b	2661120	Q641P0	ARP3B_MOUSE	none	none	Chromatin remodeling	none	10911987	none	histone	"H2A, H3, H4"	none	none	10911987
7	ACTR5	none	14671	ARP5 actin-related protein 5 homolog (yeast)	79913	Q9H9F9	ARP5_HUMAN	Actin PF00022 30-570	Actr5	1924748	Q80US4	ARP5_MOUSE	INO80	INO80 complex subunits	Chromatin remodeling	none	19014934	Ino80	chromatin	none	none	none	19014934
8	ACTR6	none	24025	ARP6 actin-related protein 6 homolog (yeast)	64431	Q9GZN1	ARP6_HUMAN	Actin PF00022 1-395	Actr6	1914269	Q9D864	ARP6_MOUSE	none	none	Chromatin remodeling cofactor	none	11368909	SRCAP	chromatin	none	none	none	11368909
9	ACTR8	none	14672	ARP8 actin-related protein 8 homolog (yeast)	93973	Q9H981	ARP8_HUMAN	Actin PF00022 43-621	Actr8	1860775	Q8R2S9	ARP8_MOUSE	INO80	INO80 complex subunits	Histone modification read	none	22977180	Ino80	histone	none	none	none	22977180
10	ADNP	New	15766	activity-dependent neuroprotector homeobox	23394	Q9H2P0	ADNP_HUMAN	"Homeobox PF00046 765-813, Pfam-B_10803 PB010803 691-762, Pfam-B_21724 PB021724 921-1100, Pfam-B_29916 PB029916 615-646"	Adnp	1338758	Q9Z103	ADNP_MOUSE	ZFHX	Homeoboxes / ZF class	Chromatin remodeling cofactor	none	17878164	none	chromatin	none	none	none	none
